,left,right,up,down
0,1.647820867955013e-25,8.576679903299058e-24,1.0728998472510728e-28,1.162781839052461e-26
1,7.921534501038427e-29,4.9073257257651976e-23,5.0357730723929265e-28,5.930698328184122e-28
2,4.999716111163225e-27,2.520509362493119e-22,2.17461111643473e-26,6.725376531567071e-28
3,2.7724846874672254e-25,1.4377431334054175e-21,1.3489983638708853e-24,2.2897000078211664e-23
4,5.50787682652208e-23,1.7241636082406337e-25,1.784446226040703e-22,8.842693526486986e-21
5,3.813693629159338e-23,0.0,0.0,0.0
6,0.0,0.0,0.0,0.0
7,0.0,6.686118790700793e-53,0.0,0.0
8,0.0,6.637647321062076e-24,0.0,9.40435816396798e-23
9,0.0,0.0,0.0,1.1775360632065023e-18
10,0.0,0.0,0.0,0.0
11,0.0,0.0,0.0,0.0
12,0.0,0.0,0.0,0.0
13,0.0,0.0,0.0,0.0
14,0.0,0.0,0.0,0.0
15,0.0,0.0,0.0,0.0
16,0.0,0.0,0.0,0.0
17,0.0,0.0,0.0,0.0
18,0.0,0.0,0.0,0.0
19,0.0,0.0,0.0,0.0
20,0.0,0.0,0.0,0.0
21,0.0,0.0,0.0,0.0
22,0.0,0.0,0.0,0.0
23,0.0,0.0,0.0,0.0
24,0.0,0.0,0.0,0.0
25,0.0,0.0,0.0,0.0
26,0.0,0.0,0.0,0.0
27,0.0,0.0,0.0,0.0
28,0.0,0.0,0.0,0.0
29,0.0,0.0,0.0,0.0
30,0.0,0.0,0.0,0.0
31,0.0,0.0,0.0,0.0
32,0.0,0.0,0.0,0.0
33,0.0,0.0,0.0,0.0
34,0.0,0.0,0.0,0.0
35,0.0,0.0,0.0,0.0
36,0.0,0.0,0.0,0.0
37,0.0,0.0,0.0,0.0
38,0.0,0.0,0.0,0.0
39,0.0,0.0,0.0,0.0
40,1.1627818389690412e-26,2.1308539189714864e-25,0.0,0.0
41,1.7847160735348616e-27,2.746816219537406e-25,1.414605495708813e-24,0.0
42,0.0,0.0,0.0,5.192872555156371e-23
43,1.0178143044975561e-25,1.7697398519522402e-21,0.0,1.1720725664146898e-23
44,5.743806598332807e-24,5.815687552442036e-24,3.210216459068052e-23,7.047555733217778e-20
45,9.289971611231146e-21,8.211082964301527e-45,0.0,1.891498354000769e-28
46,0.0,1.167950388329371e-19,0.0,0.0
