,date,capacity,turnover,open,high,low,close,change,transaction
0,2010/1/4,13571560,619672074,46.8,46.8,45.2,45.35,-1.05,3827
1,2010/1/5,12630136,563856560,45.35,45.7,44,44.8,-0.55,4116
2,2010/1/6,9712841,432343861,44.1,45,44.1,44.6,-0.2,3409
3,2010/1/7,14704785,654549232,44.5,45.3,43.6,43.9,-0.7,3989
4,2010/1/8,16684846,723269616,44,44.35,42.7,43.85,-0.05,5168
5,2010/1/11,8183971,359320015,43.85,44.2,43.7,43.9,0.05,2914
6,2010/1/12,5537526,241536027,43.9,44.1,43.3,43.7,-0.2,2467
7,2010/1/13,20654268,886452110,43.05,43.2,42.6,42.8,-0.9,7011
8,2010/1/14,14816924,639254632,43,43.5,42.8,43.2,0.4,4498
9,2010/1/15,11191122,482349263,43.3,43.7,42.85,42.9,-0.3,4088
10,2010/1/18,6504855,279793476,42.7,43.4,42.6,42.9,0,2351
11,2010/1/19,32170852,1433389010,43.8,45.3,43.8,44.5,1.6,10547
12,2010/1/20,19032354,840573572,45,45.3,43.5,43.5,-1,6536
13,2010/1/21,11376662,485920313,43.05,43.5,42.2,42.5,-1,4560
14,2010/1/22,14093814,579816943,41.6,41.95,40.5,40.55,-1.95,4918
15,2010/1/25,8150018,329710898,39.7,41.35,39.7,40.3,-0.25,3480
16,2010/1/26,13834915,550141274,40.6,40.95,39,39.35,-0.95,4502
17,2010/1/27,7600959,298926001,39.6,40,38.6,39,-0.35,2577
18,2010/1/28,8791578,348412686,39.3,40.3,39.15,39.6,0.6,3348
19,2010/1/29,5317265,207406026,39,39.4,38.55,39.05,-0.55,2343
20,2010/2/1,26489909,979138033,38.8,39.2,36.4,36.4,-2.65,8014
21,2010/2/2,16383620,597248822,37,37.2,35.5,35.9,-0.5,5042
22,2010/2/3,11448607,413886155,36.5,36.6,35.85,36.1,0.2,3928
23,2010/2/4,13696392,499110057,36.5,37.1,35.8,36.6,0.5,4527
24,2010/2/5,17246459,590994174,35.4,35.4,34.05,34.05,-2.55,4618
25,2010/2/6,16018159,527351237,34.05,34.2,31.8,33,-1.05,4295
26,2010/2/8,15453772,527439469,33,34.8,32.95,34.2,1.2,5340
27,2010/2/9,24841847,888354862,34.9,36.55,34.4,36.3,2.1,7123
28,2010/2/10,17782329,650697702,36.55,37.35,36.2,36.3,0,6381
