,date,capacity,turnover,open,high,low,close,change,transaction
0,2010/1/4,1067121,131580883,123,124,122,123,0.5,661
1,2010/1/5,8040694,1039546547,124.5,131.5,124,130.5,7.5,3258
2,2010/1/6,8028414,1078451760,131,139.5,129,134,3.5,3506
3,2010/1/7,2913177,384636187,135,135,130,131.5,-2.5,1399
4,2010/1/8,5181548,701736244,134,138,133,136,4.5,2049
5,2010/1/11,3983641,558367881,140,145,136.5,141,5,2033
6,2010/1/12,2659970,375123187,141,144.5,138,144.5,3.5,1786
7,2010/1/13,2059888,291987757,143,144,140,141,-3.5,1250
8,2010/1/14,2223069,317500367,141,144,140,143.5,2.5,1063
9,2010/1/15,2899217,412927264,145,145,139,139,-4.5,1639
10,2010/1/18,1337624,188040236,138,143,137.5,139,0,979
11,2010/1/19,1817261,251840996,141,141,136,136,-3,1167
12,2010/1/20,1907371,255222522,138.5,139,132,133.5,-2.5,1143
13,2010/1/21,4229759,561720501,131,140,130,139,5.5,1623
14,2010/1/22,1530748,204411107,135,137,132,132.5,-6.5,1087
15,2010/1/25,1041214,136692820,134,134.5,129,130,-2.5,733
16,2010/1/26,3341673,417107125,130,131.5,121,124,-6,2041
17,2010/1/27,2737154,357266328,132,132.5,127,132.5,8.5,2041
18,2010/1/28,1105618,146121385,134,134.5,129,132,-0.5,783
19,2010/1/29,1593658,206902830,127,135.5,124.5,135.5,3.5,986
20,2010/2/1,2010472,259004444,133.5,134.5,126.5,127,-8.5,1455
21,2010/2/2,1350588,172027500,132,132,123,124.5,-2.5,1046
22,2010/2/3,771163,96655179,127.5,127.5,123,125.5,1,604
23,2010/2/4,981744,124182244,126,128,125,126,0.5,769
24,2010/2/5,3150830,377694590,121.5,123,117.5,123,-3,1656
25,2010/2/6,682800,83403697,123,123,120,121.5,-1.5,512
26,2010/2/8,1112591,135797894,123,123.5,121,122,0.5,836
27,2010/2/9,857863,105828579,122,124.5,122,123.5,1.5,670
28,2010/2/10,1854592,231586109,124.5,127.5,123,123,-0.5,976
29,2010/2/22,830507,104222368,128.5,128.5,124,124.5,1.5,602
30,2010/2/23,1005841,126679466,124,127,124,126,1.5,686
31,2010/2/24,1273133,159866322,124,127,124,126.5,0.5,781
32,2010/2/25,1877963,230528338,127,127,120,123,-3.5,994
33,2010/2/26,2916995,352116370,121.5,126,118.5,126,3,1723
34,2010/3/1,1583727,196205648,125,126,123,123.5,-2.5,856
35,2010/3/2,2634707,330709582,125,127,124,126.5,3,1411
36,2010/3/3,908070,114184820,126,126.5,125,126,-0.5,483
